date,equity_pc,source
2022-10-05,0.72,cdn.cboe.com/data/us/options/market_statistics/daily/2022-10-05_daily_options
2022-10-06,0.71,cdn.cboe.com/data/us/options/market_statistics/daily/2022-10-06_daily_options
2022-10-07,0.88,cdn.cboe.com/data/us/options/market_statistics/daily/2022-10-07_daily_options
2022-10-10,0.65,cdn.cboe.com/data/us/options/market_statistics/daily/2022-10-10_daily_options
2022-10-11,0.77,cdn.cboe.com/data/us/options/market_statistics/daily/2022-10-11_daily_options
2022-10-13,0.66,cdn.cboe.com/data/us/options/market_statistics/daily/2022-10-13_daily_options
2022-10-14,0.63,cdn.cboe.com/data/us/options/market_statistics/daily/2022-10-14_daily_options
2022-10-17,0.61,cdn.cboe.com/data/us/options/market_statistics/daily/2022-10-17_daily_options
2022-10-21,0.58,cdn.cboe.com/data/us/options/market_statistics/daily/2022-10-21_daily_options
2022-10-24,0.55,cdn.cboe.com/data/us/options/market_statistics/daily/2022-10-24_daily_options
2022-10-25,0.62,cdn.cboe.com/data/us/options/market_statistics/daily/2022-10-25_daily_options
2022-10-26,0.65,cdn.cboe.com/data/us/options/market_statistics/daily/2022-10-26_daily_options
2022-10-28,0.66,cdn.cboe.com/data/us/options/market_statistics/daily/2022-10-28_daily_options
2022-10-31,0.61,cdn.cboe.com/data/us/options/market_statistics/daily/2022-10-31_daily_options
2022-11-01,0.63,cdn.cboe.com/data/us/options/market_statistics/daily/2022-11-01_daily_options
2022-11-02,1.14,cdn.cboe.com/data/us/options/market_statistics/daily/2022-11-02_daily_options
2022-11-03,0.69,cdn.cboe.com/data/us/options/market_statistics/daily/2022-11-03_daily_options
2022-11-08,1.30,cdn.cboe.com/data/us/options/market_statistics/daily/2022-11-08_daily_options
2022-11-09,0.96,cdn.cboe.com/data/us/options/market_statistics/daily/2022-11-09_daily_options
2022-11-10,0.60,cdn.cboe.com/data/us/options/market_statistics/daily/2022-11-10_daily_options
2022-11-11,0.55,cdn.cboe.com/data/us/options/market_statistics/daily/2022-11-11_daily_options
2022-11-14,0.61,cdn.cboe.com/data/us/options/market_statistics/daily/2022-11-14_daily_options
2022-11-30,1.27,cdn.cboe.com/data/us/options/market_statistics/daily/2022-11-30_daily_options
2022-12-06,0.73,cdn.cboe.com/data/us/options/market_statistics/daily/2022-12-06_daily_options
2022-12-15,0.73,cdn.cboe.com/data/us/options/market_statistics/daily/2022-12-15_daily_options
2022-12-16,1.19,cdn.cboe.com/data/us/options/market_statistics/daily/2022-12-16_daily_options
2022-12-19,0.62,cdn.cboe.com/data/us/options/market_statistics/daily/2022-12-19_daily_options
2022-12-22,1.35,cdn.cboe.com/data/us/options/market_statistics/daily/2022-12-22_daily_options
2022-12-29,1.33,cdn.cboe.com/data/us/options/market_statistics/daily/2022-12-29_daily_options
2023-01-06,0.91,cdn.cboe.com/data/us/options/market_statistics/daily/2023-01-06_daily_options
2023-01-20,0.54,cdn.cboe.com/data/us/options/market_statistics/daily/2023-01-20_daily_options
2023-01-23,0.53,cdn.cboe.com/data/us/options/market_statistics/daily/2023-01-23_daily_options
2023-01-26,0.68,cdn.cboe.com/data/us/options/market_statistics/daily/2023-01-26_daily_options
2023-01-30,0.56,cdn.cboe.com/data/us/options/market_statistics/daily/2023-01-30_daily_options
2023-01-31,0.66,cdn.cboe.com/data/us/options/market_statistics/daily/2023-01-31_daily_options
2023-02-01,0.59,cdn.cboe.com/data/us/options/market_statistics/daily/2023-02-01_daily_options
2023-02-02,0.49,cdn.cboe.com/data/us/options/market_statistics/daily/2023-02-02_daily_options
2023-02-07,0.60,cdn.cboe.com/data/us/options/market_statistics/daily/2023-02-07_daily_options
2023-02-21,0.68,cdn.cboe.com/data/us/options/market_statistics/daily/2023-02-21_daily_options
2023-03-03,0.59,cdn.cboe.com/data/us/options/market_statistics/daily/2023-03-03_daily_options
2023-03-14,0.75,cdn.cboe.com/data/us/options/market_statistics/daily/2023-03-14_daily_options
2023-03-15,0.80,cdn.cboe.com/data/us/options/market_statistics/daily/2023-03-15_daily_options
2023-03-16,0.66,cdn.cboe.com/data/us/options/market_statistics/daily/2023-03-16_daily_options
2023-04-13,0.62,cdn.cboe.com/data/us/options/market_statistics/daily/2023-04-13_daily_options
2023-04-27,0.70,cdn.cboe.com/data/us/options/market_statistics/daily/2023-04-27_daily_options
2023-05-05,0.69,cdn.cboe.com/data/us/options/market_statistics/daily/2023-05-05_daily_options
2023-05-25,0.56,cdn.cboe.com/data/us/options/market_statistics/daily/2023-05-25_daily_options
2023-05-26,0.53,cdn.cboe.com/data/us/options/market_statistics/daily/2023-05-26_daily_options
2023-05-30,0.51,cdn.cboe.com/data/us/options/market_statistics/daily/2023-05-30_daily_options
2023-07-20,0.61,cdn.cboe.com/data/us/options/market_statistics/daily/2023-07-20_daily_options
2023-08-02,0.62,cdn.cboe.com/data/us/options/market_statistics/daily/2023-08-02_daily_options
2023-08-24,0.79,cdn.cboe.com/data/us/options/market_statistics/daily/2023-08-24_daily_options
2023-08-29,0.69,cdn.cboe.com/data/us/options/market_statistics/daily/2023-08-29_daily_options
2023-10-25,0.90,cdn.cboe.com/data/us/options/market_statistics/daily/2023-10-25_daily_options
2023-11-10,1.03,cdn.cboe.com/data/us/options/market_statistics/daily/2023-11-10_daily_options
2023-11-14,0.74,cdn.cboe.com/data/us/options/market_statistics/daily/2023-11-14_daily_options
2024-01-08,0.59,cdn.cboe.com/data/us/options/market_statistics/daily/2024-01-08_daily_options
2024-02-22,0.66,cdn.cboe.com/data/us/options/market_statistics/daily/2024-02-22_daily_options
2024-04-19,0.65,cdn.cboe.com/data/us/options/market_statistics/daily/2024-04-19_daily_options
2024-06-05,0.75,cdn.cboe.com/data/us/options/market_statistics/daily/2024-06-05_daily_options
2024-07-11,0.61,cdn.cboe.com/data/us/options/market_statistics/daily/2024-07-11_daily_options
2024-07-17,0.53,cdn.cboe.com/data/us/options/market_statistics/daily/2024-07-17_daily_options
2024-07-23,0.63,cdn.cboe.com/data/us/options/market_statistics/daily/2024-07-23_daily_options
2024-07-24,0.70,cdn.cboe.com/data/us/options/market_statistics/daily/2024-07-24_daily_options
2024-07-25,0.80,cdn.cboe.com/data/us/options/market_statistics/daily/2024-07-25_daily_options
2024-07-31,0.59,cdn.cboe.com/data/us/options/market_statistics/daily/2024-07-31_daily_options
2024-08-01,0.64,cdn.cboe.com/data/us/options/market_statistics/daily/2024-08-01_daily_options
2024-08-02,0.81,cdn.cboe.com/data/us/options/market_statistics/daily/2024-08-02_daily_options
2024-08-05,0.77,cdn.cboe.com/data/us/options/market_statistics/daily/2024-08-05_daily_options
2024-08-08,0.97,cdn.cboe.com/data/us/options/market_statistics/daily/2024-08-08_daily_options
2024-08-13,0.67,cdn.cboe.com/data/us/options/market_statistics/daily/2024-08-13_daily_options
2024-08-14,0.67,cdn.cboe.com/data/us/options/market_statistics/daily/2024-08-14_daily_options
2024-08-15,0.58,cdn.cboe.com/data/us/options/market_statistics/daily/2024-08-15_daily_options
2024-09-03,0.73,cdn.cboe.com/data/us/options/market_statistics/daily/2024-09-03_daily_options
2024-09-06,0.75,cdn.cboe.com/data/us/options/market_statistics/daily/2024-09-06_daily_options
2024-09-11,0.60,cdn.cboe.com/data/us/options/market_statistics/daily/2024-09-11_daily_options
2024-09-19,0.77,cdn.cboe.com/data/us/options/market_statistics/daily/2024-09-19_daily_options
2024-10-31,0.63,cdn.cboe.com/data/us/options/market_statistics/daily/2024-10-31_daily_options
2024-11-05,0.62,cdn.cboe.com/data/us/options/market_statistics/daily/2024-11-05_daily_options
2024-11-06,0.54,cdn.cboe.com/data/us/options/market_statistics/daily/2024-11-06_daily_options
2024-11-07,0.47,cdn.cboe.com/data/us/options/market_statistics/daily/2024-11-07_daily_options
2024-11-15,0.60,cdn.cboe.com/data/us/options/market_statistics/daily/2024-11-15_daily_options
2024-12-18,0.45,cdn.cboe.com/data/us/options/market_statistics/daily/2024-12-18_daily_options
2025-01-15,0.58,cdn.cboe.com/data/us/options/market_statistics/daily/2025-01-15_daily_options
2025-01-27,0.57,cdn.cboe.com/data/us/options/market_statistics/daily/2025-01-27_daily_options
2025-02-21,0.63,cdn.cboe.com/data/us/options/market_statistics/daily/2025-02-21_daily_options
2025-02-27,0.68,cdn.cboe.com/data/us/options/market_statistics/daily/2025-02-27_daily_options
2025-03-03,0.64,cdn.cboe.com/data/us/options/market_statistics/daily/2025-03-03_daily_options
2025-03-06,0.65,cdn.cboe.com/data/us/options/market_statistics/daily/2025-03-06_daily_options
2025-03-07,0.57,cdn.cboe.com/data/us/options/market_statistics/daily/2025-03-07_daily_options
2025-03-10,0.60,cdn.cboe.com/data/us/options/market_statistics/daily/2025-03-10_daily_options
2025-03-14,0.57,cdn.cboe.com/data/us/options/market_statistics/daily/2025-03-14_daily_options
2025-03-24,0.48,cdn.cboe.com/data/us/options/market_statistics/daily/2025-03-24_daily_options
2025-03-28,0.68,cdn.cboe.com/data/us/options/market_statistics/daily/2025-03-28_daily_options
2025-04-02,0.59,cdn.cboe.com/data/us/options/market_statistics/daily/2025-04-02_daily_options
2025-04-03,1.02,cdn.cboe.com/data/us/options/market_statistics/daily/2025-04-03_daily_options
2025-04-04,0.64,cdn.cboe.com/data/us/options/market_statistics/daily/2025-04-04_daily_options
2025-04-07,0.63,cdn.cboe.com/data/us/options/market_statistics/daily/2025-04-07_daily_options
2025-04-08,0.77,cdn.cboe.com/data/us/options/market_statistics/daily/2025-04-08_daily_options
2025-04-09,0.58,cdn.cboe.com/data/us/options/market_statistics/daily/2025-04-09_daily_options
2025-04-10,0.76,cdn.cboe.com/data/us/options/market_statistics/daily/2025-04-10_daily_options
